date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,no_stopwords,tokens,lemmatized_tokens,processed_text,sentiment,sentiment_encoded
2024-09-06,Claim who accept.,every quite sense including six lot have never effect fill general relationship save security land record class democrat hundred full nearly recent,4,morrowthomas,30,147,Flipkart,en,Nepal,3.8.4,No,every quite sense including six lot never effect fill general relationship save security land record class democrat hundred full nearly recent,"['every', 'quite', 'sense', 'including', 'six', 'lot', 'never', 'effect', 'fill', 'general', 'relationship', 'save', 'security', 'land', 'record', 'class', 'democrat', 'hundred', 'full', 'nearly', 'recent']","['every', 'quite', 'sense', 'including', 'six', 'lot', 'never', 'effect', 'fill', 'general', 'relationship', 'save', 'security', 'land', 'record', 'class', 'democrat', 'hundred', 'full', 'nearly', 'recent']",every quite sense including six lot never effect fill general relationship save security land record class democrat hundred full nearly recent,Positive,2
2025-07-03,Growth pretty wish.,ask develop bag also his worker pass expert white arm similar compare manager action sure us million crime six member recognize past,4,sheakimberly,120,132,Flipkart,en,Guinea,5.2.6,Yes,ask develop bag also worker pass expert white arm similar compare manager action sure us million crime six member recognize past,"['ask', 'develop', 'bag', 'also', 'worker', 'pass', 'expert', 'white', 'arm', 'similar', 'compare', 'manager', 'action', 'sure', 'us', 'million', 'crime', 'six', 'member', 'recognize', 'past']","['ask', 'develop', 'bag', 'also', 'worker', 'pas', 'expert', 'white', 'arm', 'similar', 'compare', 'manager', 'action', 'sure', 'u', 'million', 'crime', 'six', 'member', 'recognize', 'past']",ask develop bag also worker pas expert white arm similar compare manager action sure u million crime six member recognize past,Positive,2
,What then spend offer reason whom none.,if customer address region try near risk next on girl spring paper create upon offer end imagine blood authority family water,5,katherineali,130,125,Flipkart,en,Kuwait,3.6.5,No,customer address region try near risk next girl spring paper create upon offer end imagine blood authority family water,"['customer', 'address', 'region', 'try', 'near', 'risk', 'next', 'girl', 'spring', 'paper', 'create', 'upon', 'offer', 'end', 'imagine', 'blood', 'authority', 'family', 'water']","['customer', 'address', 'region', 'try', 'near', 'risk', 'next', 'girl', 'spring', 'paper', 'create', 'upon', 'offer', 'end', 'imagine', 'blood', 'authority', 'family', 'water']",customer address region try near risk next girl spring paper create upon offer end imagine blood authority family water,Positive,2
,Say dog drug enter director strong student.,to television loss election him small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,1,eric11,72,165,Amazon,en,Uruguay,5.7.2,No,television loss election small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,"['television', 'loss', 'election', 'small', 'detail', 'red', 'son', 'include', 'good', 'act', 'strategy', 'eat', 'behavior', 'purpose', 'start', 'away', 'use', 'live', 'government', 'thus', 'especially', 'water', 'raise', 'travel']","['television', 'loss', 'election', 'small', 'detail', 'red', 'son', 'include', 'good', 'act', 'strategy', 'eat', 'behavior', 'purpose', 'start', 'away', 'use', 'live', 'government', 'thus', 'especially', 'water', 'raise', 'travel']",television loss election small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,Negative,0
,Purpose here beyond.,pass share must amount lot per manage world to than make worker exactly develop office approach son long must maybe hour rather company with recently least ready,5,chloe42,123,161,Amazon,en,Mayotte,5.8.6,No,pass share must amount lot per manage world make worker exactly develop office approach son long must maybe hour rather company recently least ready,"['pass', 'share', 'must', 'amount', 'lot', 'per', 'manage', 'world', 'make', 'worker', 'exactly', 'develop', 'office', 'approach', 'son', 'long', 'must', 'maybe', 'hour', 'rather', 'company', 'recently', 'least', 'ready']","['pas', 'share', 'must', 'amount', 'lot', 'per', 'manage', 'world', 'make', 'worker', 'exactly', 'develop', 'office', 'approach', 'son', 'long', 'must', 'maybe', 'hour', 'rather', 'company', 'recently', 'least', 'ready']",pas share must amount lot per manage world make worker exactly develop office approach son long must maybe hour rather company recently least ready,Positive,2
,Care throw piece move firm main economy.,especially when gas contain interest industry sell half hundred conference capital office direction between establish dog it herself certainly where change south computer,3,rosshannah,48,170,Flipkart,en,Bahamas,4.3.6,Yes,especially gas contain interest industry sell half hundred conference capital office direction establish dog certainly change south computer,"['especially', 'gas', 'contain', 'interest', 'industry', 'sell', 'half', 'hundred', 'conference', 'capital', 'office', 'direction', 'establish', 'dog', 'certainly', 'change', 'south', 'computer']","['especially', 'gas', 'contain', 'interest', 'industry', 'sell', 'half', 'hundred', 'conference', 'capital', 'office', 'direction', 'establish', 'dog', 'certainly', 'change', 'south', 'computer']",especially gas contain interest industry sell half hundred conference capital office direction establish dog certainly change south computer,Neutral,1
2025-05-02,Maintain say threat high expert place certain.,live picture last free guess night use election after go quickly paper officer practice mrs without expect foot,3,daniellemcfarland,190,111,App Store,en,Italy,4.2.7,Yes,live picture last free guess night use election go quickly paper officer practice mrs without expect foot,"['live', 'picture', 'last', 'free', 'guess', 'night', 'use', 'election', 'go', 'quickly', 'paper', 'officer', 'practice', 'mrs', 'without', 'expect', 'foot']","['live', 'picture', 'last', 'free', 'guess', 'night', 'use', 'election', 'go', 'quickly', 'paper', 'officer', 'practice', 'mr', 'without', 'expect', 'foot']",live picture last free guess night use election go quickly paper officer practice mr without expect foot,Neutral,1
,Share bar energy choice pressure those finally.,occur support author class direction first fact environment popular even know television guy minute late cold take by doctor edge season see decision however believe view list approach side,2,joanramos,128,189,Website,en,Brunei Darussalam,1.7.1,No,occur support author class direction first fact environment popular even know television guy minute late cold take doctor edge season see decision however believe view list approach side,"['occur', 'support', 'author', 'class', 'direction', 'first', 'fact', 'environment', 'popular', 'even', 'know', 'television', 'guy', 'minute', 'late', 'cold', 'take', 'doctor', 'edge', 'season', 'see', 'decision', 'however', 'believe', 'view', 'list', 'approach', 'side']","['occur', 'support', 'author', 'class', 'direction', 'first', 'fact', 'environment', 'popular', 'even', 'know', 'television', 'guy', 'minute', 'late', 'cold', 'take', 'doctor', 'edge', 'season', 'see', 'decision', 'however', 'believe', 'view', 'list', 'approach', 'side']",occur support author class direction first fact environment popular even know television guy minute late cold take doctor edge season see decision however believe view list approach side,Negative,0
,Source kind hand employee field.,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory itself policy move training loss,1,millskatherine,184,144,Flipkart,en,Burkina Faso,2.1.7,No,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory policy move training loss,"['stuff', 'agreement', 'professional', 'team', 'foot', 'live', 'window', 'music', 'evening', 'know', 'wide', 'recently', 'opportunity', 'lead', 'see', 'theory', 'policy', 'move', 'training', 'loss']","['stuff', 'agreement', 'professional', 'team', 'foot', 'live', 'window', 'music', 'evening', 'know', 'wide', 'recently', 'opportunity', 'lead', 'see', 'theory', 'policy', 'move', 'training', 'loss']",stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory policy move training loss,Negative,0
,Determine bad personal might son party.,light across two water local across involve fall discuss nature country think join economic resource position,3,justin84,159,109,App Store,en,Isle of Man,3.8.6,No,light across two water local across involve fall discuss nature country think join economic resource position,"['light', 'across', 'two', 'water', 'local', 'across', 'involve', 'fall', 'discuss', 'nature', 'country', 'think', 'join', 'economic', 'resource', 'position']","['light', 'across', 'two', 'water', 'local', 'across', 'involve', 'fall', 'discus', 'nature', 'country', 'think', 'join', 'economic', 'resource', 'position']",light across two water local across involve fall discus nature country think join economic resource position,Neutral,1
